                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4475,                 1.9224,                  1.113,                0.58447,                0.40523,                0.36398,                0.22495,                 1.3128,                 1.4025,                 1.0595,             0.00023662,             0.00023662,             0.00023662
                      2,                 1.3367,                 1.2301,                 1.0558,                0.59083,                0.52444,                0.47852,                0.30153,                 1.2912,                 1.0984,                 1.0447,             0.00046523,             0.00046523,             0.00046523
                      3,                 1.3237,                  1.157,                  1.049,                0.56911,                0.45593,                0.47144,                0.28826,                 1.3399,                 1.1606,                 1.0781,              0.0006844,              0.0006844,              0.0006844
                      4,                 1.3239,                 1.1315,                 1.0533,                0.57918,                0.51604,                0.50908,                0.31536,                 1.2999,                 1.1043,                 1.0594,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.3088,                 1.0824,                 1.0489,                0.61864,                0.49533,                0.51239,                0.31981,                 1.2908,                  1.065,                 1.0562,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.2959,                 1.0475,                 1.0463,                0.72847,                 0.5324,                0.58708,                0.37431,                 1.2763,                0.93988,                 1.0483,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.2886,                 1.0008,                 1.0394,                0.68119,                0.58413,                0.60931,                0.38893,                  1.256,                0.90086,                 1.0485,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.2771,                0.98597,                 1.0397,                0.62432,                  0.559,                0.57148,                0.35884,                 1.2756,                0.98398,                 1.0559,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.2646,                0.96389,                 1.0334,                0.66851,                0.55057,                0.60329,                0.38348,                 1.2521,                0.95889,                 1.0488,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.2601,                0.95031,                 1.0327,                0.69775,                0.53247,                 0.5802,                0.37027,                 1.2643,                0.91493,                  1.052,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.2551,                0.92828,                 1.0299,                0.68442,                0.55494,                0.58811,                0.37015,                 1.2824,                0.95622,                 1.0557,             0.00058677,             0.00058677,             0.00058677
